"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"HMDB0007875","PC(32:3)","HMDB0007875","52922220","89521","C00157",NA,"CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0004879","Trihexosylceramide(d18:1/16:0)","HMDB0004879","20057315",NA,"C04737","7136","CCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCC","1"
"HMDB0000251","Taurine","HMDB0000251","1123","15891","C00245","31","NCCS(O)(=O)=O","1"
"HMDB0049142","TG(18:1(11Z)/18:0/18:3(6Z,9Z,12Z))","HMDB0049142","131759943",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0013432","PC(O-38:5)","HMDB0013432","24779379","84827",NA,NA,"[H][C@@](COCCCCCCCC\C=C/CCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0010447","TG(18:1(11Z)/18:0/18:2(9Z,12Z))","HMDB0010447","53480511",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0000738","Indole","HMDB0000738","798","16881","C00463","286","N1C=CC2=C1C=CC=C2","1"
"HMDB0000670","Homo-L-arginine","HMDB0000670","9085","27747","C01924","5640","N[C@@H](CCCCNC(N)=N)C(O)=O","1"
"HMDB0005397","TG(18:0_36:2)","HMDB0005397","25240368",NA,NA,"4917","[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0012100","SM(d18:1/18:1)","HMDB0012100","53481366","86086","C00550",NA,"CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCCCC\C=C/CCCCCC","1"
"HMDB0032055","N-Acetylhistidine","HMDB0032055","75619","16437","C02997",NA,"CC(=O)N[C@@H](CC1=CNC=N1)C(O)=O","1"
"HMDB0000294","Urea","HMDB0000294","1176","16199","C00086","6","NC(N)=O","1"
"HMDB0013412","PC(O-34:1)","HMDB0013412","53481707","89892",NA,NA,"CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0013451","PC(O-42:5)","HMDB0013451","53481757",NA,NA,NA,"CCCCCCCC\C=C/CCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0000008","2-Hydroxybutyric acid","HMDB0000008","440864","50613","C05984","3783","CC[C@H](O)C(O)=O","1"
"HMDB0013442","PC(O-40:4)","HMDB0013442","52923852",NA,NA,NA,"CCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0010384","LysoPC(18:0/0:0)","HMDB0010384","497299","73858","C04230",NA,"CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0000134","Fumaric acid","HMDB0000134","444972","18012","C00122","3242","OC(=O)\C=C\C(O)=O","1"
"HMDB0000271","Sarcosine","HMDB0000271","1088","15611","C00213","51","CNCC(O)=O","1"
"HMDB0049116","TG(18:1(11Z)/16:0/20:1(11Z))","HMDB0049116","131759923",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB0007989","PC(38:5)","HMDB0007989","24778735","84795","C00157",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0013448","PC(O-42:4)","HMDB0013448","53481751",NA,NA,NA,"CCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0007188","DG(18:1/18:1)","HMDB0007188","53478063","88366",NA,NA,"[H][C@](CO)(COC(=O)CCCCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCC\C=C/CCCCCC","1"
"HMDB0004812","2,5-Furandicarboxylic acid","HMDB0004812","76720","84212","C20450","7076","OC(=O)C1=CC=C(O1)C(O)=O","1"
"HMDB0004975","GlcCer(d18:1/24:1)","HMDB0004975","20057357","76302","C01190","7228","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC","1"
"HMDB0000237","Propionic acid","HMDB0000237","1032","30768","C00163","3215","CCC(O)=O","1"
"HMDB0007894","PC(38:1)","HMDB0007894","24778643","86175","C00157",NA,"CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC","1"
"HMDB0000156","Malic acid","HMDB0000156","222656","30797","C00149",NA,"O[C@@H](CC(O)=O)C(O)=O","1"
"HMDB0000929","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"HMDB0000182","Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
